"PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
Adilabad,1,ST,Telangana,Godam Nagesh,Telangana Rashtra Samithi,1386233,1045839,75.4 %,171290,16.4%
Agra,18,SC,Uttar Pradesh [2000 Onwards],Dr. Ram Shankar Katheria,Bharatiya Janta Party,1814739,1070400,59.0 %,300263,28.1%
Ahmadnagar,37,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1699408,1062318,62.5 %,209122,19.7%
Ahmedabad East,7,GEN,Gujarat,Paresh Rawal,Bharatiya Janta Party,1601832,985525,61.5 %,326633,33.1%
Ahmedabad West,8,SC,Gujarat,Dr. Kirit P Solanki,Bharatiya Janta Party,1534400,964609,62.9 %,320311,33.2%
Ajmer,13,GEN,Rajasthan,Sanwar Lal Jat,Bharatiya Janta Party,1683292,1156314,68.7 %,171983,14.9%
Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh @ Bhole Singh,Bharatiya Janta Party,1768623,971375,54.9 %,278997,28.7%
Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1646463,978491,59.4 %,203116,20.8%
Alappuzha,15,GEN,Kerala,K C Venugopal,Indian National Congress,1271324,997464,78.5 %,19407,1.9%
Alathur,9,SC,Kerala,P.K.Biju,Communist Party Of India (MARXIST),1216351,927228,76.2 %,37312,4.0%
Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar,Bharatiya Janta Party,1793126,1064357,59.4 %,286736,26.9%
Alipurduars,2,ST,West Bengal,Dasrath Tirkey,All India Trinamool Congress,1470911,1223566,83.2 %,21397,1.7%
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Shyama Charan Gupta,Bharatiya Janta Party,1666569,891582,53.5 %,62009,7.0%
Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1254328,656525,52.3 %,95690,14.6%
Alwar,8,GEN,Rajasthan,Chand Nath,Bharatiya Janta Party,1628067,1062305,65.3 %,283895,26.7%
Amalapuram,24,SC,Andhra Pradesh [2014 Onwards],Dr Pandula Ravindra Babu,Telugu Desam,1357866,1120927,82.6 %,120576,10.8%
Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1692227,1218995,72.0 %,340074,27.9%
Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Hari Om Pandey,Bharatiya Janta Party,1718774,1034404,60.2 %,139429,13.5%
Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1669843,874625,52.4 %,107903,12.3%
Amravati,7,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1611365,1004061,62.3 %,137932,13.7%
Amreli,14,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1486286,808816,54.4 %,156232,19.3%
Amritsar,2,GEN,Punjab,Captain Amarinder Singh,Indian National Congress,1477262,1007196,68.2 %,102770,10.2%
Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Kanwar Singh Tanwar,Bharatiya Janta Party,1544242,1095860,71.0 %,158214,14.4%
Anakapalli,22,GEN,Andhra Pradesh [2014 Onwards],Muttamsetti Srinivasa Rao (AVANTHI),Telugu Desam,1401474,1148072,81.9 %,47932,4.2%
Anand,16,GEN,Gujarat,Dilip Patel,Bharatiya Janta Party,1496859,970894,64.9 %,63426,6.5%
Anandpur Sahib,6,GEN,Punjab,Prem Singh Chandumajra,Shiromani Akali Dal,1564721,1086563,69.4 %,23697,2.2%
Anantapur,36,GEN,Andhra Pradesh [2014 Onwards],J.C. Divakar Reddi,Telugu Desam,1536912,1205054,78.4 %,61269,5.1%
Anantnag,3,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,1301023,375279,28.8 %,65417,17.4%
Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,269360,190328,70.7 %,7812,4.1%
Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Kumar,Bharatiya Janta Party,1653577,995641,60.2 %,138429,13.9%
Arakkonam,7,GEN,Tamil Nadu,Hari G.,All India Anna Dravida Munnetra Kazhagam,1401545,1089052,77.7 %,240766,22.1%
Arambagh,29,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1600293,1361934,85.1 %,346845,25.5%
Arani,12,GEN,Tamil Nadu,V.Elumalai,All India Anna Dravida Munnetra Kazhagam,1369668,1096046,80.0 %,243844,22.2%
Araria,9,GEN,Bihar [2000 Onwards],Tasleem Uddin,Rashtriya Janata Dal,1587348,975811,61.5 %,146504,15.0%
Arrah,32,GEN,Bihar [2000 Onwards],Raj Kumar Singh,Bharatiya Janta Party,1832332,893213,48.8 %,135870,15.2%
Aruku,18,ST,Andhra Pradesh [2014 Onwards],Kothapalli Geetha,Yuvajana Sramika Rythu Congress Party,1272724,909614,71.5 %,91398,10.0%
Arunachal East,2,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,312872,261291,83.5 %,12478,4.8%
Arunachal West,1,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,446515,335665,75.2 %,41738,12.4%
Asansol,40,GEN,West Bengal,Babul Supriya Baral (BABUL SUPRIYO),Bharatiya Janta Party,1469684,1142395,77.7 %,70480,6.2%
Aska,19,GEN,Orissa,Ladu Kishore Swain,Biju Janata Dal,1408780,896281,63.6 %,311997,34.8%
Attingal,19,GEN,Kerala,Dr.A .Sampath,Communist Party Of India (MARXIST),1251398,859350,68.7 %,69378,8.1%
Aurangabad,19,GEN,Maharashtra,Chandrakant Bhaurao Khaire,Shiv Sena,1589393,982933,61.8 %,162000,16.5%
Aurangabad,37,GEN,Bihar [2000 Onwards],Sushil Kumar Singh,Bharatiya Janta Party,1536153,786274,51.2 %,66347,8.4%
Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,701890,543280,77.4 %,24095,4.4%
Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,1703222,960218,56.4 %,63204,6.6%
Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,1769145,1027594,58.1 %,166347,16.2%
Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvtagouda Chandanagouda,Bharatiya Janta Party,1568620,1079310,68.8 %,116560,10.8%
Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Dr. Satya Pal Singh,Bharatiya Janta Party,1505175,1004263,66.7 %,209866,20.9%
Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1453783,1154587,79.4 %,356567,30.9%
Bahraich,56,SC,Uttar Pradesh [2000 Onwards],Sadhvi Savitri Bai Foole,Bharatiya Janta Party,1638645,934263,57.0 %,95645,10.2%
Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],Bodhsingh Bhagat,Bharatiya Janta Party,1629769,1113364,68.3 %,96041,8.6%
Balasore,6,GEN,Orissa,Rabindra Kumar Jena,Biju Janata Dal,1366218,1049450,76.8 %,141825,13.5%
Ballia,72,GEN,Uttar Pradesh [2000 Onwards],Bharat Singh,Bharatiya Janta Party,1768271,942211,53.3 %,139434,14.8%
Balurghat,6,GEN,West Bengal,Arpita Ghosh,All India Trinamool Congress,1254497,1063053,84.7 %,106964,10.1%
Banaskantha,2,GEN,Gujarat,Chaudhary Haribhai Parthibhai,Bharatiya Janta Party,1515711,886634,58.5 %,202334,22.8%
Banda,48,GEN,Uttar Pradesh [2000 Onwards],Bhairon Prasad Mishra,Bharatiya Janta Party,1601917,858326,53.6 %,115788,13.5%
Bangalore Central,25,GEN,Karnataka,P.C. Mohan,Bharatiya Janta Party,1931663,1074589,55.6 %,137500,12.8%
Bangalore North,24,GEN,Karnataka,D.V Sadananda Gowda,Bharatiya Janta Party,2401472,1356718,56.5 %,229764,16.9%
Bangalore Rural,23,GEN,Karnataka,D K Suresh,Indian National Congress,2190397,1455244,66.4 %,231480,15.9%
Bangalore South,26,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,1999882,1113726,55.7 %,228575,20.5%
Bangaon,14,SC,West Bengal,Kapil Krishna Thakur,All India Trinamool Congress,1540713,1283688,83.3 %,146601,11.4%
Banka,27,GEN,Bihar [2000 Onwards],Jai Prakash Narayan Yadav,Rashtriya Janata Dal,1549456,899353,58.0 %,10144,1.1%
Bankura,36,GEN,West Bengal,Sreemati Dev Varma (MOON MOON SEN),All India Trinamool Congress,1503812,1236319,82.2 %,98506,8.0%
Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,1760110,877877,49.9 %,189516,21.6%
Banswara,20,ST,Rajasthan,Manshankar Ninama,Bharatiya Janta Party,1692502,1171188,69.2 %,91916,7.8%
Bapatla,32,SC,Andhra Pradesh [2014 Onwards],Malyadri Sriram,Telugu Desam,1392965,1184634,85.0 %,32754,2.8%
Bara Banki,53,SC,Uttar Pradesh [2000 Onwards],Priyanka Singh Rawat,Bharatiya Janta Party,1721282,1068168,62.1 %,211878,19.8%
Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,1813543,1066556,58.8 %,69719,6.5%
Baramulla,1,GEN,Jammu & Kashmir,Muzaffar Hussain Baig,Jammu & Kashmir Peoples Democratic Party,1190745,465992,39.1 %,29219,6.3%
