,Name,No.of votes,Percentage of votes,Party
0,Rathod Ramesh,"372,268",43.1%,Telugu Desam
1,Kotnak Ramesh,"257,181",29.8%,Indian National Congress
2,Mesram Nago Rao,"112,930",13.1%,Praja Rajyam Party
3,Dr. Ramshankar,"203,697",31.4%,Bharatiya Janta Party
4,Kunwar Chand (Vakil),"193,982",29.9%,Bahujan Samaj Party
5,Ramji Lal Suman,"141,367",21.8%,Samajwadi Party
6,Gandhi Dilipkumar Mansukhlal,"312,047",39.6%,Bharatiya Janta Party
7,Kardile Shivaji Bhanudas,"265,316",33.7%,Nationalist Congress Party
8,Rajeev Appasaheb Rajale,"152,795",19.4%,Independent
9,Harin Pathak,"318,846",53.4%,Bharatiya Janta Party
10,Babaria Dipakbhai Ratilal,"232,790",39.0%,Indian National Congress
11,Patel Bholabhai Valjibhai (Kakadia),"8,999",1.5%,Nationalist Congress Party
12,Dr. Solanki Kiritbhai Premajibhai,"376,823",54.6%,Bharatiya Janta Party
13,Parmar Shailesh Manharlal,"285,696",41.4%,Indian National Congress
14,Dr. Pravin S. Solanki,"8,436",1.2%,Bahujan Samaj Party
15,Sachin Pilot,"405,575",52.6%,Indian National Congress
16,Kiran Maheshwari,"329,440",42.7%,Bharatiya Janta Party
17,Rohitash,"9,180",1.2%,Bahujan Samaj Party
18,Rajaram Pal,"192,549",30.2%,Indian National Congress
19,Anil Shukla Warsi,"160,506",25.2%,Bahujan Samaj Party
20,Arun Kumar Tiwari Baba,"136,907",21.5%,Bharatiya Janta Party
21,Dhotre Sanjay Shamrao,"287,526",38.9%,Bharatiya Janta Party
22,Ambedkar Prakash Yashwant,"222,678",30.1%,Bharipa Bahujan Mahasangh
23,Babasaheb Dhabekar,"182,776",24.7%,Indian National Congress
24,K.C Venugopal,"468,679",51.4%,Indian National Congress
25,Dr. K.S Manoj,"411,044",45.1%,Communist Party Of India (MARXIST)
26,Sony J. Kalyankumar,"19,711",2.2%,Independent
27,P.K Biju,"387,352",46.7%,Communist Party Of India (MARXIST)
28,N.K Sudheer,"366,392",44.1%,Indian National Congress
29,M. Bindu Teacher,"53,890",6.5%,Bharatiya Janta Party
30,Raj Kumari Chauhan,"193,444",27.9%,Bahujan Samaj Party
31,Zafar Alam,"176,887",25.5%,Samajwadi Party
32,Bijendra Singh,"165,776",23.9%,Indian National Congress
33,Manohar Tirkey,"384,890",41.2%,Revolutionary Socialist Party
34,Paban Kumar Lakra,"272,068",29.1%,All India Trinamool Congress
35,Manoj Tigga,"199,843",21.4%,Bharatiya Janta Party
36,Raman Singh,"209,431",38.1%,Samajwadi Party
37,Ashok Kumar Bajpai,"174,511",31.7%,Bahujan Samaj Party
38,Yogesh Shukla,"60,997",11.1%,Bharatiya Janta Party
39,Pradeep Tamta,"200,824",41.7%,Indian National Congress
40,Ajay Tamta,"193,874",40.2%,Bharatiya Janta Party
41,Bahadur Ram Dhauni,"44,616",9.3%,Bahujan Samaj Party
42,Jitendra Singh,"450,119",59.0%,Indian National Congress
43,Dr.Kiran Yadav,"293,500",38.5%,Bharatiya Janta Party
44,Ram Lal Meena,"4,674",0.6%,Independent
45,G.V.Harsha Kumar,"368,501",35.9%,Indian National Congress
46,Pothula Prameela Devi,"328,496",32.0%,Praja Rajyam Party
47,Doctor Gedela Varalakshmi,"264,524",25.8%,Telugu Desam
48,Selja,"322,258",37.2%,Indian National Congress
49,Rattan Lal Kataria,"307,688",35.5%,Bharatiya Janta Party
50,Chander Pal,"188,608",21.8%,Bahujan Samaj Party
51,Rakesh Pandey,"259,487",32.0%,Bahujan Samaj Party
52,Shankhlal Majhi,"236,751",29.2%,Samajwadi Party
53,Vinay Katiyar,"226,067",27.9%,Bharatiya Janta Party
54,Rahul Gandhi,"464,195",71.8%,Indian National Congress
55,Asheesh Shukla,"93,997",14.5%,Bahujan Samaj Party
56,Pradeep Kumar Singh,"37,570",5.8%,Bharatiya Janta Party
57,Adsul Anandrao Vithoba,"314,286",42.9%,Shiv Sena
58,Gawai Rajendra Ramkrushna,"252,570",34.5%,Republican Party Of India
59,Dr. Rajiv Gulabrao Jamthe,"64,438",8.8%,Independent
60,Kachhadia Naranbhai,"247,666",47.2%,Bharatiya Janta Party
61,Nilaben Virjibhai Thummar,"210,349",40.1%,Indian National Congress
62,Sukhadiya Nathalal V.,"15,122",2.9%,Independent
63,Navjot Singh Sidhu,"392,046",48.1%,Bharatiya Janta Party
64,Om Parkash Soni,"385,188",47.3%,Indian National Congress
65,B.K.N. Chhiber,"11,108",1.4%,Bahujan Samaj Party
66,Devendra Nagpal,"283,182",40.1%,Rashtriya Lok Dal
67,Mehboob Ali,"191,099",27.0%,Samajwadi Party
68,Maudood Madni,"170,396",24.1%,Bahujan Samaj Party
69,Sabbam Hari,"369,968",35.2%,Indian National Congress
70,Nookarapu Surya Prakasa Rao,"317,056",30.1%,Telugu Desam
71,Allu Aravind,"294,183",28.0%,Praja Rajyam Party
72,Solanki Bharatbhai Madhavsinh,"348,655",51.6%,Indian National Congress
73,Patel Dipakbhai Chimanbhai,"281,337",41.6%,Bharatiya Janta Party
74,Solanki Bharat Babubhai,"16,729",2.5%,Independent
75,Ravneet Singh,"404,836",44.8%,Indian National Congress
76,Dr. Daljit Singh Cheema,"337,632",37.3%,Shiromani Akali Dal
77,Kewal Krishan,"118,088",13.1%,Bahujan Samaj Party
78,Anantha Venkata Rami Reddy,"457,876",45.7%,Indian National Congress
79,Kalava Srinivasulu,"379,955",37.9%,Telugu Desam
80,Mansoor,"102,047",10.2%,Praja Rajyam Party
81,Mirza Mehboob Beg,"148,317",46.5%,Jammu &amp; Kashmir National Conference
82,Peer Mohd Hussain,"143,093",44.9%,Jammu &amp; Kashmir Peoples Democratic Party
83,Nazir Ahmad Bhat,"5,981",1.9%,Independent
84,Shri. Bishnu Pada Ray,"75,211",44.2%,Bharatiya Janta Party
85,Shri. Kuldeep Rai Sharma,"72,221",42.5%,Indian National Congress
86,Shri Tapan Kumar Bepari,"7,190",4.2%,Communist Party Of India (MARXIST)
87,Menka Gandhi,"216,503",30.7%,Bharatiya Janta Party
88,Dharmendra Kumar,"208,822",29.6%,Samajwadi Party
89,Kunwar Sarvraj Singh,"174,353",24.7%,Bahujan Samaj Party
90,Jagathrakshakan,"415,041",48.6%,Dravida Munetra Kazhagam
91,Velu R,"305,245",35.7%,Pattali Makkal Katchi
92,Sankar S,"82,038",9.6%,Desiya Murpokku Dravida Kazhagam
93,Malik Sakti Mohan,"630,254",54.2%,Communist Party Of India (MARXIST)
94,Sambhu Nath Malik,"428,696",36.8%,Indian National Congress
95,Murari Bera,"57,903",5.0%,Bharatiya Janta Party
96,Krishnasswamy M,"396,728",47.1%,Indian National Congress
97,Subramaniyan N,"289,898",34.4%,All India Anna Dravida Munnetra Kazhagam
98,Mohanam Ra,"105,729",12.5%,Desiya Murpokku Dravida Kazhagam
99,Pradeep Kumar Singh,"282,742",38.7%,Bharatiya Janta Party
100,Zakir Hussain Khan,"260,240",35.6%,Lok Jan Shakti Party
101,Dr. Shakeel Ahmad Khan,"49,649",6.8%,Indian National Congress
102,Meena Singh,"212,726",38.2%,Janata Dal (United)
103,Rama Kishore Singh,"138,006",24.8%,Lok Jan Shakti Party
104,Arun Singh,"115,966",20.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
105,Kishore Chandra Suryanarayana Deo Vyricherla,"360,458",45.3%,Indian National Congress
106,Midiyam Babu Rao,"168,014",21.1%,Communist Party Of India (MARXIST)
107,Meenaka Simhachalam,"128,649",16.2%,Praja Rajyam Party
108,Ninong Ering,"115,423",53.7%,Indian National Congress
109,Tapir Gao,"46,974",21.9%,Bharatiya Janta Party
110,Lowangcha Wanglat,"46,539",21.7%,Arunachal Congress
111,Takam Sanjoy,"140,443",49.2%,Indian National Congress
112,Kiren Rijiju,"139,129",48.7%,Bharatiya Janta Party
113,Subu Kechi,"3,167",1.1%,Independent
114,Bansa Gopal Chowdhury,"435,161",48.7%,Communist Party Of India (MARXIST)
115,Ghatak Moloy,"362,205",40.5%,All India Trinamool Congress
116,Suryya Ray,"49,646",5.6%,Bharatiya Janta Party
117,Nityananda Pradhan,"419,862",59.8%,Biju Janata Dal
118,Ramachandra Rath,"187,028",26.6%,Indian National Congress
119,Shanti Devi,"42,165",6.0%,Bharatiya Janta Party
120,Adv. A Sampath,"328,036",45.2%,Communist Party Of India (MARXIST)
121,Prof.G Balachandran,"309,695",42.7%,Indian National Congress
122,Thottakkadu Sasi,"47,620",6.6%,Bharatiya Janta Party
123,Chandrakant Khaire,"255,896",42.8%,Shiv Sena
124,Uttamsingh Rajdharsingh Pawar,"222,882",37.3%,Indian National Congress
125,Shantigiriji Moungiriji Maharaj,"148,026",24.7%,Independent
126,Sushil Kumar Singh,"260,153",43.5%,Janata Dal (United)
127,Shakil Ahmad Khan,"188,095",31.4%,Rashtriya Janata Dal
128,Nikhil Kumar,"54,581",9.1%,Indian National Congress
129,Biren Singh Engti,"197,835",41.2%,Indian National Congress
130,Elwin Teron,"123,287",25.6%,Autonomous State Demand Committee
131,Kulendra Daulagupu,"100,081",20.8%,Bharatiya Janta Party
132,Ramakant Yadav,"247,648",35.1%,Bharatiya Janta Party
133,Akbar Ahmad Dumpy,"198,609",28.2%,Bahujan Samaj Party
134,Durga Prasad Yadav,"123,844",17.6%,Samajwadi Party
135,Dharmendra Yadav,"233,744",31.7%,Samajwadi Party
136,Dharam Yadav Urf D. P. Yadav,"201,202",27.3%,Bahujan Samaj Party
137,Saleem Iqbal Sherwani,"193,834",26.3%,Indian National Congress
138,Gaddigoudar Parvatagouda Chandanagouda,"413,272",48.1%,Bharatiya Janta Party
139,J.T.Patil,"377,826",43.9%,Indian National Congress
140,Hiremath Renukaradhya Sharanayya,"13,415",1.6%,Independent
141,Ajit Singh,"238,638",38.9%,Rashtriya Lok Dal
142,Mukesh Sharma,"175,611",28.6%,Bahujan Samaj Party
143,Sompal,"136,964",22.3%,Indian National Congress
144,Adhir Ranjan Chowdhury,"541,920",56.8%,Indian National Congress
145,Pramothes Mukherjee,"354,943",37.2%,Revolutionary Socialist Party
146,Bidyut Kumar Halder,"27,619",2.9%,Bharatiya Janta Party
147,Kamal Kishor,"160,005",31.2%,Indian National Congress
148,Lal Mani Prasad,"121,052",23.6%,Bahujan Samaj Party
149,Shabbeer Ahmad,"120,791",23.6%,Samajwadi Party
150,K. D. Deshmukh,"299,959",39.6%,Bharatiya Janta Party
151,Vishveshwar Bhagat,"259,140",34.2%,Indian National Congress
152,Kankar Munjare,"48,800",6.4%,Rashtriya Janata Dal
153,Srikant Kumar Jena,"313,888",35.2%,Indian National Congress
154,Arun Dey,"274,988",30.8%,Nationalist Congress Party
155,Mahamegha Bahan Aira Kharabela Swain,"219,908",24.6%,Bharatiya Janta Party
156,Neeraj Shekhar,"276,649",40.8%,Samajwadi Party
157,Sangram Singh Yadav,"204,094",30.1%,Bahujan Samaj Party
158,Manoj Sinha,"137,740",20.3%,Bharatiya Janta Party
159,Prasanta Kumar Majumdar,"388,444",44.3%,Revolutionary Socialist Party
160,Biplab Mitra,"383,339",43.7%,All India Trinamool Congress
161,Subhash Chandra Barman,"59,741",6.8%,Bharatiya Janta Party
162,Gadhvi Mukeshkumar Bheiravdanji,"289,409",44.8%,Indian National Congress
163,Chaudhary Haribhai Parathibhai,"279,108",43.2%,Bharatiya Janta Party
164,Shrimali Ashokbhai Balchandbhai,"20,524",3.2%,Independent
165,R. K. Singh Patel,"240,948",38.9%,Samajwadi Party
166,Bhairon Prasad Mishra,"206,355",33.3%,Bahujan Samaj Party
167,Amita Bajpai,"85,587",13.8%,Bharatiya Janta Party
168,P. C. Mohan,"340,162",40.2%,Bharatiya Janta Party
169,H.T.Sangliana,"304,944",36.0%,Indian National Congress
170,B.Z. Zameer Ahmed Khan,"162,552",19.2%,Janata Dal (Secular)
171,D. B. Chandre Gowda,"452,920",45.2%,Bharatiya Janta Party
172,C. K. Jaffer Sharief,"393,255",39.3%,Indian National Congress
173,R. Surendra Babu,"110,983",11.1%,Janata Dal (Secular)
