,Name,No.of votes,Percentage of votes,Party
0,Godam Nagesh,"430,847",41.2%,Telangana Rashtra Samithi
1,Naresh,"259,557",24.8%,Indian National Congress
2,Ramesh Rathod,"184,198",17.6%,Telugu Desam
3,Dr. Ram Shankar Katheria,"583,716",54.5%,Bharatiya Janta Party
4,Narayan Singh Suman,"283,453",26.5%,Bahujan Samaj Party
5,Maharaj Singh Dhangar,"134,708",12.6%,Samajwadi Party
6,Gandhi Dilipkumar Mansukhlal,"605,185",57.0%,Bharatiya Janta Party
7,Rajeev Appasaheb Rajale,"396,063",37.3%,Nationalist Congress Party
8,Kolsepatil Baban Gangadhar,"12,683",1.2%,Independent
9,Paresh Rawal,"633,582",64.3%,Bharatiya Janta Party
10,Patel Himmatsingh Prahladsingh,"306,949",31.1%,Indian National Congress
11,Dinesh Vaghela,"11,349",1.2%,Aam Aadmi Party
12,Dr. Kirit P Solanki,"617,104",64.0%,Bharatiya Janta Party
13,Ishwarbahi Dhanabhai Makwana,"296,793",30.8%,Indian National Congress
14,J J Mevada,"17,332",1.8%,Aam Aadmi Party
15,Sanwar Lal Jat,"637,874",55.2%,Bharatiya Janta Party
16,Sachin Pilot,"465,891",40.3%,Indian National Congress
17,Sanwar Lal,"12,149",1.1%,Nationalist Congress Party
18,Devendra Singh @ Bhole Singh,"481,584",49.6%,Bharatiya Janta Party
19,Anil Shukla Warsi,"202,587",20.9%,Bahujan Samaj Party
20,Lal Singh Tomar,"147,002",15.1%,Samajwadi Party
21,Dhotre Sanjay Shamrao,"456,472",46.7%,Bharatiya Janta Party
22,Patel Hidayat Ulla Barkat Ulla,"253,356",25.9%,Indian National Congress
23,Ambedkar Prakash Yashwant,"238,776",24.4%,Bharipa Bahujan Mahasangh
24,K C Venugopal,"462,525",46.4%,Indian National Congress
25,C B Chandrababu,"443,118",44.4%,Communist Party Of India (MARXIST)
26,Prof.A.V.Thamarakshan,"43,051",4.3%,Revolutionary Socialist Party Of Kerala (Bolshevik)
27,P.K.Biju,"411,808",44.4%,Communist Party Of India (MARXIST)
28,Sheeba,"374,496",40.4%,Indian National Congress
29,Shaju Mon Vattekkad,"87,803",9.5%,Bharatiya Janta Party
30,Satish Kumar,"514,622",48.4%,Bharatiya Janta Party
31,Dr. Arvind Kumar Singh,"227,886",21.4%,Bahujan Samaj Party
32,Zafar Alam,"226,284",21.3%,Samajwadi Party
33,Dasrath Tirkey,"362,453",29.6%,All India Trinamool Congress
34,Manohar Tirkey,"341,056",27.9%,Revolutionary Socialist Party
35,Birendra Bara (ORAON),"335,857",27.4%,Bharatiya Janta Party
36,Shyama Charan Gupta,"313,772",35.2%,Bharatiya Janta Party
37,Kunwar Rewati Raman Singh Alias Mani,"251,763",28.2%,Samajwadi Party
38,Keshri Devi,"162,073",18.2%,Bahujan Samaj Party
39,Ajay Tamta,"348,186",53.0%,Bharatiya Janta Party
40,Pradeep Tamta,"252,496",38.5%,Indian National Congress
41,Bahadur Ram Dhauni,"14,150",2.2%,Bahujan Samaj Party
42,Chand Nath,"642,278",60.5%,Bharatiya Janta Party
43,Bhanwar Jitendra Singh,"358,383",33.7%,Indian National Congress
44,Azad Husain,"19,483",1.8%,Bahujan Samaj Party
45,Dr Pandula Ravindra Babu,"594,547",53.0%,Telugu Desam
46,Pinipe Viswarupu,"473,971",42.3%,Yuvajana Sramika Rythu Congress Party
47,Aithabathula Jogeswara Venkata Butchi Maheswara Rao,"12,182",1.1%,Indian National Congress
48,Rattan Lal Kataria,"612,121",50.2%,Bharatiya Janta Party
49,Raj Kumar Balmiki,"272,047",22.3%,Indian National Congress
50,Dr. Kusum Sherwal,"129,571",10.6%,Indian National Lok Dal
51,Hari Om Pandey,"432,104",41.8%,Bharatiya Janta Party
52,Rakesh Pandey,"292,675",28.3%,Bahujan Samaj Party
53,Ram Murti Verma,"234,467",22.7%,Samajwadi Party
54,Rahul Gandhi,"408,651",46.7%,Indian National Congress
55,Smriti Zubin Irani,"300,748",34.4%,Bharatiya Janta Party
56,Dharmendra Pratap Singh,"57,716",6.6%,Bahujan Samaj Party
57,Adsul Anandrao Vithoba,"467,212",46.5%,Shiv Sena
58,Navneet Ravi Rana,"329,280",32.8%,Nationalist Congress Party
59,Gunwant Sudamrao Devpare,"98,200",9.8%,Bahujan Samaj Party
60,Kachhadiya Naranbhai Bhikhabhai,"436,715",54.0%,Bharatiya Janta Party
61,Thummar Virjibhai Keshavbhai (VIRJIBHAI THUMMAR),"280,483",34.7%,Indian National Congress
