,Place,Rank,Name,No.of votes,Percentage of votes,Party
0,Adilabad,1,Rathod Ramesh,"372,268",43.1%,Telugu Desam
1,,2,Kotnak Ramesh,"257,181",29.8%,Indian National Congress
2,,3,Mesram Nago Rao,"112,930",13.1%,Praja Rajyam Party
3,,,,,,
4,Agra,1,Dr. Ramshankar,"203,697",31.4%,Bharatiya Janta Party
5,,2,Kunwar Chand (Vakil),"193,982",29.9%,Bahujan Samaj Party
6,,3,Ramji Lal Suman,"141,367",21.8%,Samajwadi Party
7,,,,,,
8,Ahmadnagar,1,Gandhi Dilipkumar Mansukhlal,"312,047",39.6%,Bharatiya Janta Party
9,,2,Kardile Shivaji Bhanudas,"265,316",33.7%,Nationalist Congress Party
10,,3,Rajeev Appasaheb Rajale,"152,795",19.4%,Independent
11,,,,,,
12,Ahmedabad East,1,Harin Pathak,"318,846",53.4%,Bharatiya Janta Party
13,,2,Babaria Dipakbhai Ratilal,"232,790",39.0%,Indian National Congress
14,,3,Patel Bholabhai Valjibhai (Kakadia),"8,999",1.5%,Nationalist Congress Party
15,,,,,,
16,Ahmedabad West,1,Dr. Solanki Kiritbhai Premajibhai,"376,823",54.6%,Bharatiya Janta Party
17,,2,Parmar Shailesh Manharlal,"285,696",41.4%,Indian National Congress
18,,3,Dr. Pravin S. Solanki,"8,436",1.2%,Bahujan Samaj Party
19,,,,,,
20,Ajmer,1,Sachin Pilot,"405,575",52.6%,Indian National Congress
21,,2,Kiran Maheshwari,"329,440",42.7%,Bharatiya Janta Party
22,,3,Rohitash,"9,180",1.2%,Bahujan Samaj Party
23,,,,,,
24,Akbarpur,1,Rajaram Pal,"192,549",30.2%,Indian National Congress
25,,2,Anil Shukla Warsi,"160,506",25.2%,Bahujan Samaj Party
26,,3,Arun Kumar Tiwari Baba,"136,907",21.5%,Bharatiya Janta Party
27,,,,,,
28,Akola,1,Dhotre Sanjay Shamrao,"287,526",38.9%,Bharatiya Janta Party
29,,2,Ambedkar Prakash Yashwant,"222,678",30.1%,Bharipa Bahujan Mahasangh
30,,3,Babasaheb Dhabekar,"182,776",24.7%,Indian National Congress
31,,,,,,
32,Alappuzha,1,K.C Venugopal,"468,679",51.4%,Indian National Congress
33,,2,Dr. K.S Manoj,"411,044",45.1%,Communist Party Of India (MARXIST)
34,,3,Sony J. Kalyankumar,"19,711",2.2%,Independent
35,,,,,,
36,Alathur,1,P.K Biju,"387,352",46.7%,Communist Party Of India (MARXIST)
37,,2,N.K Sudheer,"366,392",44.1%,Indian National Congress
38,,3,M. Bindu Teacher,"53,890",6.5%,Bharatiya Janta Party
39,,,,,,
40,Aligarh,1,Raj Kumari Chauhan,"193,444",27.9%,Bahujan Samaj Party
41,,2,Zafar Alam,"176,887",25.5%,Samajwadi Party
42,,3,Bijendra Singh,"165,776",23.9%,Indian National Congress
43,,,,,,
44,Alipurduars,1,Manohar Tirkey,"384,890",41.2%,Revolutionary Socialist Party
45,,2,Paban Kumar Lakra,"272,068",29.1%,All India Trinamool Congress
46,,3,Manoj Tigga,"199,843",21.4%,Bharatiya Janta Party
47,,,,,,
48,Allahabad,1,Raman Singh,"209,431",38.1%,Samajwadi Party
49,,2,Ashok Kumar Bajpai,"174,511",31.7%,Bahujan Samaj Party
50,,3,Yogesh Shukla,"60,997",11.1%,Bharatiya Janta Party
51,,,,,,
52,Almora,1,Pradeep Tamta,"200,824",41.7%,Indian National Congress
53,,2,Ajay Tamta,"193,874",40.2%,Bharatiya Janta Party
54,,3,Bahadur Ram Dhauni,"44,616",9.3%,Bahujan Samaj Party
55,,,,,,
56,Alwar,1,Jitendra Singh,"450,119",59.0%,Indian National Congress
57,,2,Dr.Kiran Yadav,"293,500",38.5%,Bharatiya Janta Party
58,,3,Ram Lal Meena,"4,674",0.6%,Independent
59,,,,,,
60,Amalapuram,1,G.V.Harsha Kumar,"368,501",35.9%,Indian National Congress
61,,2,Pothula Prameela Devi,"328,496",32.0%,Praja Rajyam Party
62,,3,Doctor Gedela Varalakshmi,"264,524",25.8%,Telugu Desam
63,,,,,,
64,Ambala,1,Selja,"322,258",37.2%,Indian National Congress
65,,2,Rattan Lal Kataria,"307,688",35.5%,Bharatiya Janta Party
66,,3,Chander Pal,"188,608",21.8%,Bahujan Samaj Party
67,,,,,,
68,Ambedkar Nagar,1,Rakesh Pandey,"259,487",32.0%,Bahujan Samaj Party
69,,2,Shankhlal Majhi,"236,751",29.2%,Samajwadi Party
70,,3,Vinay Katiyar,"226,067",27.9%,Bharatiya Janta Party
71,,,,,,
72,Amethi,1,Rahul Gandhi,"464,195",71.8%,Indian National Congress
73,,2,Asheesh Shukla,"93,997",14.5%,Bahujan Samaj Party
74,,3,Pradeep Kumar Singh,"37,570",5.8%,Bharatiya Janta Party
75,,,,,,
76,Amravati,1,Adsul Anandrao Vithoba,"314,286",42.9%,Shiv Sena
77,,2,Gawai Rajendra Ramkrushna,"252,570",34.5%,Republican Party Of India
78,,3,Dr. Rajiv Gulabrao Jamthe,"64,438",8.8%,Independent
79,,,,,,
80,Amreli,1,Kachhadia Naranbhai,"247,666",47.2%,Bharatiya Janta Party
81,,2,Nilaben Virjibhai Thummar,"210,349",40.1%,Indian National Congress
82,,3,Sukhadiya Nathalal V.,"15,122",2.9%,Independent
83,,,,,,
84,Amritsar,1,Navjot Singh Sidhu,"392,046",48.1%,Bharatiya Janta Party
85,,2,Om Parkash Soni,"385,188",47.3%,Indian National Congress
86,,3,B.K.N. Chhiber,"11,108",1.4%,Bahujan Samaj Party
87,,,,,,
88,Amroha,1,Devendra Nagpal,"283,182",40.1%,Rashtriya Lok Dal
89,,2,Mehboob Ali,"191,099",27.0%,Samajwadi Party
90,,3,Maudood Madni,"170,396",24.1%,Bahujan Samaj Party
91,,,,,,
92,Anakapalli,1,Sabbam Hari,"369,968",35.2%,Indian National Congress
93,,2,Nookarapu Surya Prakasa Rao,"317,056",30.1%,Telugu Desam
94,,3,Allu Aravind,"294,183",28.0%,Praja Rajyam Party
95,,,,,,
96,Anand,1,Solanki Bharatbhai Madhavsinh,"348,655",51.6%,Indian National Congress
97,,2,Patel Dipakbhai Chimanbhai,"281,337",41.6%,Bharatiya Janta Party
98,,3,Solanki Bharat Babubhai,"16,729",2.5%,Independent
99,,,,,,
100,Anandpur Sahib,1,Ravneet Singh,"404,836",44.8%,Indian National Congress
101,,2,Dr. Daljit Singh Cheema,"337,632",37.3%,Shiromani Akali Dal
102,,3,Kewal Krishan,"118,088",13.1%,Bahujan Samaj Party
103,,,,,,
104,Anantapur,1,Anantha Venkata Rami Reddy,"457,876",45.7%,Indian National Congress
105,,2,Kalava Srinivasulu,"379,955",37.9%,Telugu Desam
106,,3,Mansoor,"102,047",10.2%,Praja Rajyam Party
107,,,,,,
108,Anantnag,1,Mirza Mehboob Beg,"148,317",46.5%,Jammu &amp; Kashmir National Conference
109,,2,Peer Mohd Hussain,"143,093",44.9%,Jammu &amp; Kashmir Peoples Democratic Party
110,,3,Nazir Ahmad Bhat,"5,981",1.9%,Independent
111,,,,,,
112,Andaman & Nicobar Islands,1,Shri. Bishnu Pada Ray,"75,211",44.2%,Bharatiya Janta Party
113,,2,Shri. Kuldeep Rai Sharma,"72,221",42.5%,Indian National Congress
114,,3,Shri Tapan Kumar Bepari,"7,190",4.2%,Communist Party Of India (MARXIST)
115,,,,,,
116,Aonla,1,Menka Gandhi,"216,503",30.7%,Bharatiya Janta Party
117,,2,Dharmendra Kumar,"208,822",29.6%,Samajwadi Party
118,,3,Kunwar Sarvraj Singh,"174,353",24.7%,Bahujan Samaj Party
119,,,,,,
120,Arakkonam,1,Jagathrakshakan,"415,041",48.6%,Dravida Munetra Kazhagam
121,,2,Velu R,"305,245",35.7%,Pattali Makkal Katchi
122,,3,Sankar S,"82,038",9.6%,Desiya Murpokku Dravida Kazhagam
123,,,,,,
124,Arambagh,1,Malik Sakti Mohan,"630,254",54.2%,Communist Party Of India (MARXIST)
125,,2,Sambhu Nath Malik,"428,696",36.8%,Indian National Congress
126,,3,Murari Bera,"57,903",5.0%,Bharatiya Janta Party
127,,,,,,
128,Arani,1,Krishnasswamy M,"396,728",47.1%,Indian National Congress
129,,2,Subramaniyan N,"289,898",34.4%,All India Anna Dravida Munnetra Kazhagam
130,,3,Mohanam Ra,"105,729",12.5%,Desiya Murpokku Dravida Kazhagam
131,,,,,,
132,Araria,1,Pradeep Kumar Singh,"282,742",38.7%,Bharatiya Janta Party
133,,2,Zakir Hussain Khan,"260,240",35.6%,Lok Jan Shakti Party
134,,3,Dr. Shakeel Ahmad Khan,"49,649",6.8%,Indian National Congress
135,,,,,,
136,Arrah,1,Meena Singh,"212,726",38.2%,Janata Dal (United)
137,,2,Rama Kishore Singh,"138,006",24.8%,Lok Jan Shakti Party
138,,3,Arun Singh,"115,966",20.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
139,,,,,,
140,Aruku,1,Kishore Chandra Suryanarayana Deo Vyricherla,"360,458",45.3%,Indian National Congress
141,,2,Midiyam Babu Rao,"168,014",21.1%,Communist Party Of India (MARXIST)
142,,3,Meenaka Simhachalam,"128,649",16.2%,Praja Rajyam Party
143,,,,,,
144,Arunachal East,1,Ninong Ering,"115,423",53.7%,Indian National Congress
145,,2,Tapir Gao,"46,974",21.9%,Bharatiya Janta Party
146,,3,Lowangcha Wanglat,"46,539",21.7%,Arunachal Congress
147,,,,,,
148,Arunachal West,1,Takam Sanjoy,"140,443",49.2%,Indian National Congress
149,,2,Kiren Rijiju,"139,129",48.7%,Bharatiya Janta Party
150,,3,Subu Kechi,"3,167",1.1%,Independent
151,,,,,,
152,Asansol,1,Bansa Gopal Chowdhury,"435,161",48.7%,Communist Party Of India (MARXIST)
153,,2,Ghatak Moloy,"362,205",40.5%,All India Trinamool Congress
154,,3,Suryya Ray,"49,646",5.6%,Bharatiya Janta Party
155,,,,,,
156,Aska,1,Nityananda Pradhan,"419,862",59.8%,Biju Janata Dal
157,,2,Ramachandra Rath,"187,028",26.6%,Indian National Congress
158,,3,Shanti Devi,"42,165",6.0%,Bharatiya Janta Party
159,,,,,,
160,Attingal,1,Adv. A Sampath,"328,036",45.2%,Communist Party Of India (MARXIST)
161,,2,Prof.G Balachandran,"309,695",42.7%,Indian National Congress
162,,3,Thottakkadu Sasi,"47,620",6.6%,Bharatiya Janta Party
163,,,,,,
164,Aurangabad,1,Chandrakant Khaire,"255,896",42.8%,Shiv Sena
165,,2,Uttamsingh Rajdharsingh Pawar,"222,882",37.3%,Indian National Congress
166,,3,Shantigiriji Moungiriji Maharaj,"148,026",24.7%,Independent
167,,,,,,
168,Aurangabad,1,Sushil Kumar Singh,"260,153",43.5%,Janata Dal (United)
169,,2,Shakil Ahmad Khan,"188,095",31.4%,Rashtriya Janata Dal
170,,3,Nikhil Kumar,"54,581",9.1%,Indian National Congress
171,,,,,,
172,Autonomous District,1,Biren Singh Engti,"197,835",41.2%,Indian National Congress
173,,2,Elwin Teron,"123,287",25.6%,Autonomous State Demand Committee
174,,3,Kulendra Daulagupu,"100,081",20.8%,Bharatiya Janta Party
175,,,,,,
176,Azamgarh,1,Ramakant Yadav,"247,648",35.1%,Bharatiya Janta Party
177,,2,Akbar Ahmad Dumpy,"198,609",28.2%,Bahujan Samaj Party
178,,3,Durga Prasad Yadav,"123,844",17.6%,Samajwadi Party
179,,,,,,
180,Badaun,1,Dharmendra Yadav,"233,744",31.7%,Samajwadi Party
181,,2,Dharam Yadav Urf D. P. Yadav,"201,202",27.3%,Bahujan Samaj Party
182,,3,Saleem Iqbal Sherwani,"193,834",26.3%,Indian National Congress
183,,,,,,
184,Bagalkot,1,Gaddigoudar Parvatagouda Chandanagouda,"413,272",48.1%,Bharatiya Janta Party
185,,2,J.T.Patil,"377,826",43.9%,Indian National Congress
186,,3,Hiremath Renukaradhya Sharanayya,"13,415",1.6%,Independent
187,,,,,,
188,Baghpat,1,Ajit Singh,"238,638",38.9%,Rashtriya Lok Dal
189,,2,Mukesh Sharma,"175,611",28.6%,Bahujan Samaj Party
190,,3,Sompal,"136,964",22.3%,Indian National Congress
191,,,,,,
192,Baharampur,1,Adhir Ranjan Chowdhury,"541,920",56.8%,Indian National Congress
193,,2,Pramothes Mukherjee,"354,943",37.2%,Revolutionary Socialist Party
194,,3,Bidyut Kumar Halder,"27,619",2.9%,Bharatiya Janta Party
195,,,,,,
196,Bahraich,1,Kamal Kishor,"160,005",31.2%,Indian National Congress
197,,2,Lal Mani Prasad,"121,052",23.6%,Bahujan Samaj Party
198,,3,Shabbeer Ahmad,"120,791",23.6%,Samajwadi Party
199,,,,,,
200,Balaghat,1,K. D. Deshmukh,"299,959",39.6%,Bharatiya Janta Party
201,,2,Vishveshwar Bhagat,"259,140",34.2%,Indian National Congress
202,,3,Kankar Munjare,"48,800",6.4%,Rashtriya Janata Dal
203,,,,,,
204,Balasore,1,Srikant Kumar Jena,"313,888",35.2%,Indian National Congress
205,,2,Arun Dey,"274,988",30.8%,Nationalist Congress Party
206,,3,Mahamegha Bahan Aira Kharabela Swain,"219,908",24.6%,Bharatiya Janta Party
207,,,,,,
208,Ballia,1,Neeraj Shekhar,"276,649",40.8%,Samajwadi Party
209,,2,Sangram Singh Yadav,"204,094",30.1%,Bahujan Samaj Party
210,,3,Manoj Sinha,"137,740",20.3%,Bharatiya Janta Party
211,,,,,,
212,Balurghat,1,Prasanta Kumar Majumdar,"388,444",44.3%,Revolutionary Socialist Party
213,,2,Biplab Mitra,"383,339",43.7%,All India Trinamool Congress
214,,3,Subhash Chandra Barman,"59,741",6.8%,Bharatiya Janta Party
215,,,,,,
216,Banaskantha,1,Gadhvi Mukeshkumar Bheiravdanji,"289,409",44.8%,Indian National Congress
217,,2,Chaudhary Haribhai Parathibhai,"279,108",43.2%,Bharatiya Janta Party
218,,3,Shrimali Ashokbhai Balchandbhai,"20,524",3.2%,Independent
219,,,,,,
220,Banda,1,R. K. Singh Patel,"240,948",38.9%,Samajwadi Party
221,,2,Bhairon Prasad Mishra,"206,355",33.3%,Bahujan Samaj Party
222,,3,Amita Bajpai,"85,587",13.8%,Bharatiya Janta Party
223,,,,,,
224,Bangalore Central,1,P. C. Mohan,"340,162",40.2%,Bharatiya Janta Party
225,,2,H.T.Sangliana,"304,944",36.0%,Indian National Congress
226,,3,B.Z. Zameer Ahmed Khan,"162,552",19.2%,Janata Dal (Secular)
227,,,,,,
